Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-06-04 11:52:53,false,"Bloomington Running","2.06","256","00:33:54","89","110","106","148","16:27","0:46","31","31","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:09.85","3","0.0"
Running,2020-06-03 12:54:55,false,"Bloomington Running","2.07","233","00:31:23","98","135","114","208","15:11","1:24","33","33","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:11.67","3","0.0"
Walking,2020-06-02 11:38:53,false,"Bloomington Walking","0.72","80","00:12:29","84","95","104","112","17:18","4:11","6","7","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:29.26","1","0.0"
Running,2020-05-25 17:09:10,false,"Bloomington Running","1.96","251","00:27:57","118","153","118","150","14:16","0:27","33","33","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","13:35.73","2","0.0"
Running,2020-05-24 11:40:31,false,"Michigan City Running","2.52","310","00:35:19","120","157","126","234","14:00","0:45","103","114","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:13.97","3","0.0"
Walking,2020-05-21 17:46:25,false,"Bloomington Walking","2.07","261","00:44:23","77","105","102","122","21:26","4:23","51","48","0.73","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:18.96","3","0.0"
Walking,2020-05-18 18:34:07,false,"Bloomington Walking","2.17","266","00:47:36","71","103","102","122","21:56","0:59","49","49","0.72","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:47.47","3","0.0"
Walking,2020-05-15 17:36:03,false,"Bloomington Walking","1.95","259","00:35:55","78","105","100","122","18:26","3:43","36","36","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","17:37.68","2","0.0"
Running,2020-05-15 13:25:15,false,"Bloomington Running","2.29","274","00:31:18","113","158","124","148","13:40","1:10","44","41","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:51.31","3","0.0"
Walking,2020-05-14 18:12:58,false,"Bloomington Walking","0.77","95","00:15:46","75","85","100","122","20:25","2:41","20","20","0.79","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","15:46.35","1","0.0"
Walking,2020-05-12 16:43:41,false,"Bloomington Walking","2.00","250","00:37:12","70","90","102","122","18:36","1:00","43","44","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.33","3","0.0"
Running,2020-05-07 11:37:19,false,"Bloomington Running","2.83","358","00:39:58","116","150","124","150","14:07","0:25","39","37","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:26.31","3","0.0"
Walking,2020-05-06 17:52:32,false,"Bloomington Walking","2.00","240","00:39:45","70","84","102","122","19:52","4:39","46","46","0.79","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.99","3","0.0"
Walking,2020-05-03 17:55:18,false,"Bloomington Walking","2.00","262","00:37:51","88","109","102","106","18:53","2:17","37","40","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:04.21","3","0.0"
Running,2020-05-01 12:26:03,false,"Bloomington Running","3.33","443","00:49:12","114","154","118","148","14:46","4:08","54","57","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:43.72","4","0.0"
Walking,2020-04-27 18:20:59,false,"Bloomington Walking","1.97","254","00:38:18","73","85","102","124","19:29","3:57","49","48","0.82","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","18:39.14","2","0.0"
Walking,2020-04-26 16:54:10,false,"Bloomington Walking","2.00","260","00:38:15","81","94","102","124","19:06","7:35","44","45","0.83","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.09","3","0.0"
Walking,2020-04-21 17:10:48,false,"Bloomington Walking","2.00","256","00:39:14","73","88","102","106","19:36","12:30","42","42","0.81","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.16","3","0.0"
Running,2020-04-19 17:56:18,false,"Bloomington Running","3.35","438","00:46:29","111","148","122","152","13:53","8:39","66","66","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:52.04","4","0.0"
Running,2020-04-19 17:41:30,false,"Bloomington Running","0.08","5","00:02:01.0","72","80","130","218","25:46","3:45","--","--","0.48","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Walking,2020-04-16 17:10:22,false,"Bloomington Walking","2.00","375","00:36:48","136","157","102","122","18:23","2:37","48","50","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:06.11","3","0.0"
Running,2020-04-14 12:50:04,false,"Bloomington Running","2.37","297","00:31:15","115","150","128","214","13:10","6:49","42","42","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:14.16","3","0.0"
Running,2020-04-12 18:28:12,false,"Bloomington Running","2.87","377","00:37:59","115","148","126","222","13:15","1:29","41","44","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:53.63","3","0.0"
